[2018-06-14 08:55:10] [TEST] thread

[2018-06-14 08:55:13] [TEST] post

[2018-06-14 08:55:14] [TEST] index

[2018-06-14 08:55:59] [TEST] thread

[2018-06-14 08:56:12] [TEST] post

[2018-06-14 08:56:13] [TEST] index

[2018-06-14 15:43:37] Error: {"type":2,"message":"file_get_contents(D:\\localhost\\xiunobbs\/plugin\/sq_independent_mobile\/\/view\/other_plugin\/haya_favorite\/my_favorite.htm): failed to open stream: No such file or directory","file":"D:\\localhost\\xiunobbs\\model\\plugin.func.php","line":292}


[2018-06-14 15:52:59] Error: {"type":8,"message":"Undefined variable: is_index_one","file":"D:\\localhost\\xiunobbs\\tmp\\plugin_sq_independent_mobile_view_htm_footer.inc.htm","line":210}


[2018-06-14 16:00:24] Error: {"type":8,"message":"Undefined variable: is_index_one","file":"D:\\localhost\\xiunobbs\\tmp\\plugin_sq_independent_mobile_view_htm_footer.inc.htm","line":210}


[2018-06-14 16:00:24] Error: {"type":8,"message":"Undefined variable: is_index_one","file":"D:\\localhost\\xiunobbs\\tmp\\plugin_sq_independent_mobile_view_htm_footer.inc.htm","line":210}


[2018-06-14 16:00:26] Error: {"type":8,"message":"Undefined variable: is_index_one","file":"D:\\localhost\\xiunobbs\\tmp\\plugin_sq_independent_mobile_view_htm_footer.inc.htm","line":210}


[2018-06-14 16:00:26] Error: {"type":8,"message":"Undefined variable: is_index_one","file":"D:\\localhost\\xiunobbs\\tmp\\plugin_sq_independent_mobile_view_htm_footer.inc.htm","line":210}


[2018-06-14 16:01:51] Error: {"type":8,"message":"Undefined variable: is_index_one","file":"D:\\localhost\\xiunobbs\\tmp\\plugin_sq_independent_mobile_view_htm_footer.inc.htm","line":210}


[2018-06-14 16:01:52] Error: {"type":8,"message":"Undefined variable: is_index_one","file":"D:\\localhost\\xiunobbs\\tmp\\plugin_sq_independent_mobile_view_htm_footer.inc.htm","line":210}


[2018-06-14 16:01:52] Error: {"type":8,"message":"Undefined variable: is_index_one","file":"D:\\localhost\\xiunobbs\\tmp\\plugin_sq_independent_mobile_view_htm_footer.inc.htm","line":210}


[2018-06-14 16:01:55] Error: {"type":8,"message":"Undefined variable: is_index_one","file":"D:\\localhost\\xiunobbs\\tmp\\plugin_sq_independent_mobile_view_htm_footer.inc.htm","line":210}


[2018-06-14 16:01:56] Error: {"type":8,"message":"Use of undefined constant fid - assumed 'fid'","file":"D:\\localhost\\xiunobbs\\tmp\\plugin_sq_independent_mobile_view_htm_footer_nav_bar.htm","line":47}


[2018-06-14 16:02:01] Error: {"type":8,"message":"Undefined variable: is_index_one","file":"D:\\localhost\\xiunobbs\\tmp\\plugin_sq_independent_mobile_view_htm_footer.inc.htm","line":210}


[2018-06-14 16:02:57] Error: {"type":8,"message":"Use of undefined constant SQ_INDEP - assumed 'SQ_INDEP'","file":"D:\\localhost\\xiunobbs\\tmp\\index.inc.php","line":99}


[2018-06-14 16:02:59] Error: {"type":8,"message":"Use of undefined constant SQ_INDEP - assumed 'SQ_INDEP'","file":"D:\\localhost\\xiunobbs\\tmp\\index.inc.php","line":99}


